Sexo,Edad,Grupo etario,Municipio,Región,Colonia/Localidad,Migrante,Fecha de desaparición,Día de la semana,Horario,Estatus,Fecha de localización,Días sin localizar,Rango desaparición,Reincidencia,Número de reincidencia,Desaparición múltiple,Persona con quién desapareció,Hipótesis,Fuente,Sistematizó,,
Mujer,13,12 a 17,"Mapastepec, Chiapas ",Istmo-Costa,No especificado,No,12/6/2019,Miércoles,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,6 meses,0 a 5,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,16/6/2019,Domingo,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Acacoyagua, Chiapas",Soconusco,No especificado,No,26/6/2019,Miércoles,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,3,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,27/6/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Hombre,2,0 a 5,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,30/6/2019,Domingo,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,1/7/2019,Lunes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,16,12 a 17,"Comitán de Domínguez, Chiapas ",Meseta Comiteca,No especificado,No,3/7/2019,Miércoles,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,14,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,3/7/2019,Miércoles,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tonalá, Chiapas ",Istmo-Costa,No especificado,No,7/7/2019,Domingo,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Teopisca, Chiapas ",Altos,No especificado,No,10/7/2019,Miércoles,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,12,12 a 17,"Acapetahua, Chiapas ",Soconusco,No especificado,No,10/7/2019,Miércoles,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,17,12 a 17,"Acapetahua, Chiapas ",Soconusco,No especificado,No,10/7/2019,Miércoles,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,17,12 a 17,"Tapachula, Chiapas ",Soconusco,No especificado,No,13/7/2019,Sábado,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,No especificado,No,13/7/2019,Sábado,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
